ticker,as_of,price,category,gross_margin,fcf_margin,roa,roe,roic,gross_margin_yoy,revenue_growth_yoy,fcf_yield,pe_ttm,ps_ttm,p_fcf,ev_ebit,debt_to_equity,net_debt_to_market_cap,revenue_ttm,net_income_ttm,fcf_ttm,market_cap,score_quality,score_value,score_greenblatt,score_armata_v1,fwd_3m,fwd_6m,fwd_12m
SHOP,2023-01-01,35.68000030517578,growth,,,,,,,,,,,,,,,,,,,,,,,0.3338004412988873,0.8175447847379609,1.0692264910195313
PLTR,2023-01-01,6.420000076293945,growth,,,,,,,,,,,,,,,,,,,,,,,0.3161993315961209,1.3878504270292096,1.489096472326065
ORCL,2023-01-01,80.17583465576172,enterprise,,,,,,,,,,,,,,,,,,,,,,,0.12700042925900146,0.41043574213514433,0.261835144560177
TSLA,2023-04-01,192.5800018310547,growth,,,,,,,,,,,,,,,,,,,,,,,0.45300656695235375,0.28014329855272857,-0.13474917801178254
COIN,2023-04-01,67.56999969482422,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,0.058901929479192594,0.11114403093309067,2.565191578873679
HOOD,2023-04-01,9.710000038146973,fintech,,,,,,,,,,,,,,,,,,,,,,,0.027806333988530163,0.01029870041986225,0.8949536092938755
MSTR,2023-04-01,29.898000717163086,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,0.26376344539447527,0.041307066471972353,4.2807208448167335
MARA,2023-04-01,8.510000228881836,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,0.8002349333470202,-0.14218566458322646,1.3184487675188623
GOOG,2023-04-01,104.26399993896484,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.14687967466336938,0.2680746820725839,0.4827814332569569
META,2023-04-01,213.048095703125,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.33206043121773465,0.40154630462559227,1.3188233760578472
NVDA,2023-04-01,27.428714752197266,growth,,,,,,,,,,,,,,,,,,,,,,,0.5450914033444905,0.5854402190292358,2.2594142113936426
AAPL,2023-04-01,163.26473999023438,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.16359505923427142,0.04372152611872582,0.024821682216297658
MSFT,2023-04-01,280.5363464355469,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.17950006608565672,0.09596801345427819,0.47955592614288745
AMZN,2023-04-01,103.94999694824219,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.25271770123803905,0.1998076467746559,0.7382396127570232
PYPL,2023-04-01,74.85977172851562,fintech,,,,,,,,,,,,,,,,,,,,,,,-0.09513698504487356,-0.2386394442734524,-0.14084510630838498
SHOP,2023-04-01,47.59000015258789,growth,,,,,,,,,,,,,,,,,,,,,,,0.36268119912150554,0.07963859851597932,0.6415213804603015
PLTR,2023-04-01,8.449999809265137,growth,,,,,,,,,,,,,,,,,,,,,,,0.8142012153535474,0.8934911670005656,1.7171597162993777
ORCL,2023-04-01,90.35820007324219,enterprise,,,,,,,,,,,,,,,,,,,,,,,0.25149530161448164,0.12048958789810049,0.3430281599165106
TSLA,2023-07-01,279.82000732421875,growth,,,,,,,,,,,,,,,,,,,,,,,-0.11896936485442144,-0.11221502513539439,-0.17354017420604895
COIN,2023-07-01,71.55000305175781,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,0.049336109416282525,1.1520613439548435,2.126205215029491
HOOD,2023-07-01,9.979999542236328,fintech,,,,,,,,,,,,,,,,,,,,,,,-0.017033981003724108,0.1913828545786116,1.2725452249964357
MSTR,2023-07-01,37.784000396728516,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,-0.17602691368641765,0.8133336510228475,2.494044987460182
MARA,2023-07-01,15.319999694824219,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,-0.5234986725749655,0.49673634216341145,0.44386431330716825
GOOG,2023-07-01,119.57826232910156,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.10567369017572625,0.15759809541820058,0.5496214532657384
META,2023-07-01,283.7929382324219,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.05216420500107155,0.21071954992011777,0.7850045492539406
NVDA,2023-07-01,42.3798713684082,growth,,,,,,,,,,,,,,,,,,,,,,,0.026114193372253958,0.13588284541274964,1.893139455872019
AAPL,2023-07-01,189.9740447998047,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.1030199743151462,-0.03286083793923911,0.15057550763087857
MSFT,2023-07-01,330.89263916015625,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.070819879568631,0.10183598350593814,0.3694868155411619
AMZN,2023-07-01,130.22000122070312,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.04223621523915,0.15135917117427056,0.5358623723327292
PYPL,2023-07-01,67.73783874511719,fintech,,,,,,,,,,,,,,,,,,,,,,,-0.15859025825659956,-0.09750359687759258,-0.13406745978559076
SHOP,2023-07-01,64.8499984741211,growth,,,,,,,,,,,,,,,,,,,,,,,-0.20771006511867796,0.13847345517698262,0.018658428881158873
PLTR,2023-07-01,15.329999923706055,growth,,,,,,,,,,,,,,,,,,,,,,,0.04370515848847911,0.04240049717972427,0.7762556867419361
ORCL,2023-07-01,113.0828628540039,enterprise,,,,,,,,,,,,,,,,,,,,,,,-0.10467934921319977,-0.10535793523639225,0.24059463782107104
TSLA,2023-10-01,246.52999877929688,growth,,,,,,,,,,,,,,,,,,,,,,,0.007666407329764535,-0.32409846384664087,0.04660686444354911
COIN,2023-10-01,75.08000183105469,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,1.0508789554111284,2.2085773577704284,1.2763718632651573
HOOD,2023-10-01,9.8100004196167,fintech,,,,,,,,,,,,,,,,,,,,,,,0.21202852545722162,0.8756369858798851,1.3333331713091616
MSTR,2023-10-01,31.132999420166016,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,1.200719515167199,4.071242686087033,4.225644989927498
MARA,2023-10-01,7.300000190734863,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,2.141095850145109,1.7027395927026934,1.0643834659005917
GOOG,2023-10-01,132.21453857421875,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.046961780590277113,0.16931711847873898,0.26656862260831504
META,2023-10-01,298.5967712402344,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.150694486816233,0.6544750383236859,0.9213320688739923
NVDA,2023-10-01,43.48658752441406,growth,,,,,,,,,,,,,,,,,,,,,,,0.10697508401062894,1.0558417607126054,1.689418046784894
AAPL,2023-10-01,170.40292358398438,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.07821705541585477,-0.018108128872948215,0.31883749364004177
MSFT,2023-10-01,307.4588623046875,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.18581527873671488,0.3499991860890308,0.35246077048385627
AMZN,2023-10-01,124.72000122070312,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.20213270693019636,0.44876523951967595,0.4843650021716124
PYPL,2023-10-01,56.995277404785156,fintech,,,,,,,,,,,,,,,,,,,,,,,0.07260037333586777,0.12844681436345828,0.3520069982069438
SHOP,2023-10-01,51.380001068115234,growth,,,,,,,,,,,,,,,,,,,,,,,0.43694044951803623,0.5204359891510546,0.526858608746229
